,ra,dec_x,Nobs,filter,Name,coord,Type,dec_y
268,259.574,27.466739999999984,49,zg,15651,171817.75 +272800.5,RRAB,27.466805555555553
269,273.585,41.85617,54,zg,15706,181420.51 +415122.6,NA,41.85627777777778
270,248.984,20.006150000000027,38,zg,15715,163556.19 +200022.6,RRAB,20.00627777777778
271,270.888,34.72278000000002,53,zg,15737,180333.22 +344322.4,RRAB,34.72288888888889
272,274.659,28.420379999999998,54,zg,15747,181838.10 +282513.3,RR,28.420361111111113
273,250.91,22.52497999999998,33,zg,15781,164338.45 +223130.0,UG,22.525
274,252.032,23.59626999999998,42,zg,15785,164807.72 +233546.7,RR,23.596305555555553
275,254.724,34.48285000000002,48,zg,15789,165853.82 +342858.4,RRAB,34.482888888888894
276,270.962,32.09941999999999,54,zg,15798,180350.82 +320557.3,RRAB,32.099250000000005
277,285.684,-6.197729999999991,26,zg,1582,190244.20 -061151.6,CST,-6.197666666666667
278,270.628,35.37253000000001,53,zg,15826,180230.80 +352221.4,RRAB,35.37261111111111
279,285.688,-6.180700000000027,26,zg,1583,190245.01 -061050.3,CST,-6.180638888888889
280,285.698,-6.225819999999979,26,zg,1584,190247.61 -061333.2,EA,-6.225888888888889
281,244.636,23.224099999999996,30,zg,15849,161832.63 +231327.5,RRAB,23.224305555555553
282,248.706,21.9732,39,zg,15863,163449.48 +215823.6,IS,21.97322222222222
283,252.14,23.58408999999997,42,zg,15869,164833.48 +233503.1,RRAB,23.584194444444442
284,256.87,43.40026999999998,48,zg,15875,170728.79 +432401.0,RRAB,43.400277777777774
285,259.946,43.98803999999997,49,zg,15888,171947.09 +435916.3,EW/KE,43.987861111111116
286,264.433,44.14701000000001,50,zg,15899,173743.92 +440849.9,EW/KE,44.147194444444445
287,265.3,42.210660000000026,50,zg,15900,174111.93 +421238.6,RRAB,42.21072222222222
288,257.275,42.03261000000001,51,zg,15907,170906.12 +420157.3,IA,42.032583333333335
289,257.373,43.756669999999986,48,zg,15908,170929.46 +434523.1,RRAB,43.75641666666667
290,258.012,44.22699,39,zg,15910,171202.78 +441337.0,IA,44.22694444444445
291,258.558,44.123850000000004,51,zg,15913,171413.94 +440725.3,IA,44.123694444444446
292,256.421,42.83249999999999,50,zg,15940,170541.14 +424957.4,RRAB,42.83261111111111
293,256.423,42.51243999999999,33,zg,15941,170541.43 +423044.4,EW/KW,42.51233333333333
294,258.137,48.838129999999985,51,zg,15948,171232.93 +485017.5,RRAB,48.83819444444445
295,259.035,48.29798000000001,52,zg,15949,171608.42 +481752.4,RR,48.297888888888885
296,257.199,42.68361000000001,50,zg,15968,170847.74 +424059.8,ZZO,42.683277777777775
297,280.927,15.32175999999998,50,zg,15974,184342.50 +151918.6,NA,15.321833333333332
298,280.927,9.650400000000014,49,zg,22147,184342.58 +093902.4,M,9.650666666666668
299,248.797,42.77387,45,zg,15988,163511.21 +424626.3,RRAB,42.77397222222222
300,255.21,36.14753000000001,37,zg,16006,170050.43 +360850.9,RRAB,36.14747222222222
301,256.727,39.36954999999997,52,zg,16009,170654.52 +392209.9,RRAB,39.369416666666666
302,257.098,39.96385000000001,51,zg,16010,170823.57 +395749.1,EA,39.963638888888894
303,247.977,50.35266999999999,50,zg,16027,163154.44 +502110.5,EW,50.352916666666665
304,246.207,8.07053999999999,29,zg,16034,162449.66 +080414.1,RRAB,8.070583333333333
305,265.796,43.45270999999998,50,zg,16078,174310.95 +432708.9,EW,43.45247222222223
306,259.166,29.56788,48,zg,16098,171639.91 +293404.5,EW,29.567916666666665
307,259.166,-18.38974,18,zg,23206,171639.87 -182322.9,SRB,-18.389694444444444
308,7.899,43.818170000000016,49,zg,161,003135.87 +434905.8,NL,43.81827777777778
309,239.003,49.79884,45,zg,16138,155600.63 +494755.5,RRC,49.79875
310,239.24,42.22688999999998,39,zg,16140,155657.51 +421336.8,EW,42.226888888888894
